Player Name,Year,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Mike Trout,2010,18,-4.8,Rancho Cucamonga,CALL,A+,LAA,50,232,196,30,60,9,2,4,19,11,6,27,33,.306,.388,.434,.821,85,2,1,5,3,1
Mike Trout,2010,18,-3.4,Cedar Rapids,MIDW,A,LAA,81,368,312,76,113,19,7,6,39,45,9,46,52,.362,.454,.526,.979,164,1,7,2,1,2
Mike Trout,2011,19,-5.0,Arkansas,TL,AA,LAA,91,412,353,82,115,18,13,11,38,33,10,45,76,.326,.414,.544,.958,192,2,9,4,1,1
Mike Trout,2011,19,-3.2,Scottsdale,AZFL,Fal,,25,111,106,12,26,5,0,1,5,3,1,5,33,.245,.279,.321,.600,34,3,0,0,0,0
Mike Trout,2011,19,-9.7,LAA,AL,Maj,LAA,40,135,123,20,27,6,0,5,16,4,0,9,30,.220,.282,.390,.672,48,2,2,0,1,0
Mike Trout,2012,20,-6.8,Salt Lake,PCL,AAA,LAA,20,93,77,21,31,4,5,1,13,6,1,11,16,.403,.467,.623,1.091,48,1,1,1,3,0
Mike Trout,2012,20,-8.7,LAA,AL,Maj,LAA,139,639,559,129,182,27,8,30,83,49,5,67,139,.326,.399,.564,.963,315,7,6,0,7,4
Mike Trout,2013,21,-7.7,LAA,AL,Maj,LAA,157,716,589,109,190,39,9,27,97,33,7,110,136,.323,.432,.557,.989,328,8,9,0,8,10
Mike Trout,2014,22,-6.7,LAA,AL,Maj,LAA,157,705,602,115,173,39,9,36,111,16,2,83,184,.287,.377,.562,.939,338,6,10,0,10,6
Mike Trout,2015,23,-5.5,LAA,AL,Maj,LAA,159,682,575,104,172,32,6,41,90,11,7,92,158,.299,.402,.590,.991,339,11,10,0,5,14
Mike Trout,2016,24,-4.7,LAA,AL,Maj,LAA,159,681,549,123,173,32,5,29,100,30,7,116,137,.315,.441,.550,.991,302,5,11,0,5,12
Mike Trout,2017,25,2.3,Inland Empire,CALL,A+,LAA,4,14,9,5,2,1,1,0,0,0,0,4,2,.222,.500,.556,1.056,5,1,1,0,0,0
Mike Trout,2017,25,-3.6,LAA,AL,Maj,LAA,114,507,402,92,123,25,3,33,72,22,4,94,90,.306,.442,.629,1.071,253,8,7,0,4,15
Mike Trout,2018,26,-2.2,LAA,AL,Maj,LAA,140,607,471,101,147,24,4,39,79,24,2,122,124,.312,.460,.629,1.088,296,5,10,0,4,25
Mike Trout,2019,27,-0.8,LAA,AL,Maj,LAA,134,600,470,110,137,27,2,45,104,11,2,110,120,.292,.438,.645,1.083,303,5,16,0,4,14
Mike Trout,2020,28,0.3,LAA,AL,Maj,LAA,53,241,199,41,56,9,2,17,46,1,1,35,56,.281,.390,.603,.993,120,1,3,0,4,4
Mike Trout,2021,29,0.9,LAA,AL,Maj,LAA,36,146,117,23,39,8,1,8,18,2,0,27,41,.333,.466,.624,1.090,73,0,2,0,0,5
Mike Trout,2022,30,2.1,LAA,AL,Maj,LAA,119,499,438,85,124,28,2,40,80,1,0,54,139,.283,.369,.630,.999,276,6,6,0,1,8
Mike Trout,2023,31,3.1,LAA,AL,Maj,LAA,82,362,308,54,81,14,1,18,44,2,0,45,104,.263,.367,.490,.858,151,4,7,0,2,2
Mike Trout,2024,32,5.3,Salt Lake,PCL,AAA,LAA,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0
Mike Trout,2024,32,4.2,LAA,AL,Maj,LAA,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,59,0,1,0,0,1
Mike Trout,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Mike Trout,Majors (14 seasons),,Majors,,1518,6646,5511,1123,1648,311,54,378,954,212,38,980,1485,.299,.411,.581,.991,3201,68,100,0,55,120,,,
Mike Trout,Minors (6 seasons),,Minors,,291,1327,1127,244,384,58,35,23,134,108,28,155,214,.341,.426,.516,.941,581,9,19,16,10,4,,,
Mike Trout,Other (1 season),,Other,,25,111,106,12,26,5,0,1,5,3,1,5,33,.245,.279,.321,.600,34,3,0,0,0,0,,,
